Old,Year,New,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/top-100--com-and--co-uk-internet-websites-accessed-from-ons/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/uk-advertising-and-foreign-visitor-spending/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/uk-family-weekly-spending-on-groceries/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/economy/winning-tender-for-geographic-information-system/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/employment-and-labour-market/a-million-new-jobs-in-private-sector/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/employment-and-labour-market/annual-data-on-uk-workforce-by-industry/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/employment-and-labour-market/average-gross-weekly-earnings-in-1953/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/employment-and-labour-market/average-income-of-each-uk-parliamentary-constituency-from-1999-2013/index.html,2013,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/employment-and-labour-market/categories-of-jobs-studied-and-excluded/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/employment-and-labour-market/changes-in-employment--dec-2012-to-nov-2012/index.html,2012,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/employment-and-labour-market/clarification-of-basics-concerning-labour-market-information/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/employment-and-labour-market/classification-of-and-inclusion-in--public-and-private-sector-jobs/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/employment-and-labour-market/disabled-counted-as-unemployed/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/employment-and-labour-market/disabled-people-in-yorkshire-and-humber/index.html,,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/employment-and-labour-market/economic-status-of-bottom-20--of-educational-achievement/index.html,20--,TNA,,
ons/about-ons/business-transparency/freedom-of-information/previous-foi-requests/employment-and-labour-market/employment-estimates/index.html,,TNA,,
